Fetching logs from 2026-01-30 10:48:40.337073 to newest. Display time zone: local (CET).
Timestamp                   | Level   | Content
2026-01-30 11:07:41.399441  | ERROR   | package:postgres/src/pool/pool_impl.dart 63                                    PoolImplementation.execute.<fn>
2026-01-30 11:07:41.399445  | ERROR   | package:postgres/src/pool/pool_impl.dart 153                                   PoolImplementation.withConnection
2026-01-30 11:07:41.399449  | ERROR   | package:serverpod/src/database/adapters/postgres/database_connection.dart 527  DatabaseConnection._query
2026-01-30 11:07:41.399466  | ERROR   | package:serverpod/src/database/adapters/postgres/database_connection.dart 607  DatabaseConnection.simpleExecute
2026-01-30 11:07:41.399469  | ERROR   | package:serverpod/src/database/migrations/migration_manager.dart 182           MigrationManager._migrateToLatestModule
2026-01-30 11:07:41.399472  | ERROR   | package:serverpod/src/database/migrations/migration_manager.dart 83            MigrationManager.migrateToLatest.<fn>
2026-01-30 11:07:41.399509  | ERROR   | package:serverpod/src/database/migrations/migration_manager.dart 252           MigrationManager._withMigrationLock.<fn>
2026-01-30 11:07:41.399512  | ERROR   | package:postgres/src/v3/connection.dart 554                                    PgConnectionImplementation.runTx.<fn>
2026-01-30 11:07:41.399515  | ERROR   | package:pool/pool.dart 127                                                     Pool.withResource
2026-01-30 11:07:41.399518  | ERROR   | package:postgres/src/pool/pool_impl.dart 153                                   PoolImplementation.withConnection
2026-01-30 11:07:41.399520  | ERROR   | package:serverpod/src/database/database.dart 399                               Database.transaction
2026-01-30 11:07:41.399523  | ERROR   | package:serverpod/src/database/migrations/migration_manager.dart 245           MigrationManager._withMigrationLock
2026-01-30 11:07:41.399525  | ERROR   | package:serverpod/src/database/migrations/migration_manager.dart 70            MigrationManager.migrateToLatest
2026-01-30 11:07:41.399528  | ERROR   | package:serverpod/src/server/serverpod.dart 798                                Serverpod._applyMigrations
2026-01-30 11:07:41.399530  | ERROR   | package:serverpod/src/server/serverpod.dart 662                                Serverpod._unguardedStart
2026-01-30 11:07:41.399533  | ERROR   | package:serverpod/src/server/serverpod.dart 625                                Serverpod.start.<fn>
2026-01-30 11:07:41.399535  | ERROR   | package:serverpod/src/server/serverpod.dart 624                                Serverpod.start
2026-01-30 11:07:41.399538  | ERROR   | package:serverpod_flutter_butler_server/server.dart 84                         run
2026-01-30 11:07:41.399540  | ERROR   | {}
2026-01-30 11:07:41.655516  | INFO    | 2026-01-30 10:07:41.655259Z WebServer  INFO: Webserver listening on http://stilvang.serverpod.space:8082
2026-01-30 11:07:41.657556  | ERROR   | WARNING: CPU and memory usage metrics are not supported on this platform.
2026-01-30 11:10:38.115711  | INFO    | {"__className__":"serverpod.SessionLogEntry","touched":"2026-01-30T10:10:38.123709Z","endpoint":"analytics","method":"getDailyStats","isOpen":true,"id":928589831,"serverId":"default"}
2026-01-30 11:10:38.115711  | ERROR   | {"endpoint":"analytics","method":"getDailyStats","touched":"2026-01-30T10:10:38.123944Z","error":"DatabaseQueryException: { message: Table not found, have you applied the database migration? (relation \"task\" does not exist), code: 42P01, position: 288 }","__className__":"serverpod.SessionLogEntry","serverId":"default","duration":0.008231,"id":928589831,"stackTrace":"#0      _PgSessionBase._sendAndWaitForQuery (package:postgres/src/v3/connection.dart:87)\n#1      _PgSessionBase._prepare (package:postgres/src/v3/connection.dart:195)\n#2      _PgSessionBase.execute (package:postgres/src/v3/connection.dart:171)\n#3      _PoolConnection.execute (package:postgres/src/pool/pool_impl.dart:298)\n#4      PoolImplementation.execute.<anonymous closure> (package:postgres/src/pool/pool_impl.dart:63)\n#5      PoolImplementation.withConnection (package:postgres/src/pool/pool_impl.dart:153)\n<asynchronous suspension>\n#6      DatabaseConnection._query (package:serverpod/src/database/adapters/postgres/database_connection.dart:527)\n<asynchronous suspension>\n#7      DatabaseConnection._mappedResultsQuery (package:serverpod/src/database/adapters/postgres/database_connection.dart:626)\n<asynchronous suspension>\n#8      DatabaseConnection._deserializedMappedQuery (package:serverpod/src/database/adapters/postgres/database_connection.dart:659)\n<asynchronous suspension>\n#9      AnalyticsEndpoint.getDailyStats (package:serverpod_flutter_butler_server/src/endpoints/analytics_endpoint.dart:10)\n<asynchronous suspension>\n#10     Server._handleEndpointCall (package:serverpod/src/server/server.dart:444)\n<asynchronous suspension>\n#11     Server._endpoints (package:serverpod/src/server/server.dart:311)\n<asynchronous suspension>\n#12     Server._reportException.<anonymous closure> (package:serverpod/src/server/server.dart:205)\n<asynchronous suspension>\n#13     Server._headers.<anonymous closure> (package:serverpod/src/server/server.dart:286)\n<asynchronous suspension>\n#14     _RoutingMiddlewareBuilder.call.<anonymous closure> (package:relic/src/middleware/routing_middleware.dart:121)\n<asynchronous suspension>\n#15     _RelicServer._wrapHandlerWithMiddleware.<anonymous closure> (package:relic/src/relic_server.dart:151)\n<asynchronous suspension>\n#16     _RelicServer._handleRequest (package:relic/src/relic_server.dart:127)\n<asynchronous suspension>\n","numQueries":1,"slow":false,"isOpen":false}
